name,division_id
Shidu,22
General Roca,93
Shijing,179
Olutanga,18
Sadao,32
Bila,9
Cadiz,97
Corupá,66
Banjar Sambangan,185
Sant Cugat Del Valles,105
Miānwāli,31
Plast,140
Acobamba,215
Rahama,9
Manggekompo,116
Bang Saphan,161
Bella Vista,211
Carmelo,219
Jabonga,91
Kashiwazaki,4
Daxin,24
Ketovo,85
Gjinkar,201
Bojongaren,213
Áyios Nikólaos,225
Yuecheng,122
Quşrah,213
Utkivka,219
Banovo Polje,41
Mojo,191
Tvøroyri,103
Chīchāwatni,179
Banocboc,184
Manaloal,62
Shuhong,216
Shangtianba,112
Falkenberg,146
Tabunok,33
Wschowa,72
Wawer,131
Xuexi,147
Budenovetc,164
Cluny,194
Shuixi,57
Américo Brasiliense,33
Otaniemi,9
Santiago Atitlán,145
Rejoso,112
Haiyangsuo,152
Motala,102
Najd al Jumā‘ī,215
Burns Lake,207
Chiantla,12
Villa Nueva,226
Beiwenquan,173
Fonte Boa da Brincosa,100
El Dividive,211
Grand Forks,92
Alicia,103
General Pinedo,32
Newark,107
Jinze,142
Skore,76
Knurów,55
Chigan,193
Miringa,25
Bangued,130
Stockholm,127
Labog,68
Anuradhapura,70
Rudnya,158
Kangalassy,57
Kuidou,21
Kalwaria Zebrzydowska,23
Maoping,211
Casma,3
Jinshi,218
Monte Caseros,56
Santa Maria,208
Saguenay,212
Bolnisi,210
Tršić,158
Ust’-Omchug,192
Rosmalen,208
Krosno Odrzańskie,178
Mont-Joli,116
Al Funayţīs,188
Karvia,174
Stockholm,101
Mikhaylov,5
Myhiya,138
Parista,99
Al Bawīţī,65
Lingmen,138
Vaxholm,192
Martapura,227
Buket Teukuh,157
Hénin-Beaumont,129
Drzewica,219
Baitu,91
Tanabe,8
Khinjān,67
Glogovac,215
Rusnė,98
Punkaharju,126
Borodino,142
Bangjun,57
Ucuncha,76
Andradina,189
Banja Luka,126
Houjia,71
Shar’ya,52
Guanshan,125
Przywidz,90
Luoshe,202
Lodoyo,217
Bourges,7
Mamu,212
Khvalovo,115
Llorente,3
El Bauga,194
Montgomery,7
Kansas City,167
Dul’durga,69
Stalowa Wola,107
Vesëlyy,59
Przasnysz,16
Shakhty,79
La Jagua de Ibirico,30
Tinogasta,43
Ambohitseheno,169
Soio,16
Kedungcangkring,217
Jōetsu,122
Masu,121
Xidoupu,205
Shitong,175
Tegalsari,105
Pantijan No 2,156
Kelapa,21
Palaífyto,30
Ursk,21
Oebai,160
Huyu,212
Yangce,75
Borovan,124
Pop,197
Masjed Soleymān,225
Longnawang,56
Monastyrshchina,118
Suchy Las,181
Ning’er,104
Musanze,214
Mairinque,143
Chinoz,172
La Gomera,85
Gravataí,217
Lunel,144
Longar,80
Ovsyanka,112
Chuhuyiv,135
Yanjiatai,25
Ungsang,43
Bolesławiec,211
Shalakusha,97
El Bagre,76
Pushkin,203
Checacupe,206
Chambar,33
Kishi,79
Zarzis,93
Calbuco,27
Selaparang Timur,95
Montpellier,125
Lyon,106
Negotino,18
Nevers,219
Gilowice,86
Tola,193
Cheongpyeong,49
Grimshaw,34
Pasatan,212
Aguasay,58
Malax,12
Blagodatnoye,101
Gurra e Vogël,110
Onan Ganjang Satu,47
Xiejia,139
Lipovljani,28
Musan-ŭp,8
Yampil’,225
Tuwa,43
Abū Qalqal,105
Arma,10
Rahama,5
København,3
Saint Petersburg,28
Campoverde,165
Songgai,219
Nancheng,221
Tayturka,51
Primorsko-Akhtarsk,150
Dawan,131
Chaodi,131
Itararé,152
Yambrasbamba,221
Wubao,134
Jingyang,217
Nizhnyaya Tavda,110
Oguta,216
Ylöjärvi,205
Tacoma,65
Paris 14,191
Cezi,96
Torez,114
Cabanaconde,2
Doruchów,51
Ovsyanka,179
Claremont,92
Gorodishche,34
Har-Us,128
Boucinha,91
Washington,46
Riolândia,99
Savelugu,59
Maydolong,148
Rongxing,23
Xaçmaz,55
Bánov,28
Ljubešćica,60
Tanakawu Dua,225
Brunssum,124
Moinhos,172
Kristiansand S,47
Bogolyubovo,122
Kasungu,165
Bjästa,101
Hebian,70
Osiedle-Nowiny,41
Pakalongan,177
Leeds,194
Ejmiatsin,106
Pirot,177
Milagros,196
Izumo,188
Uvarovo,15
Vårdö,13
Wanjia,117
Sitangkai,133
Willowmore,34
Boji,57
Kedungharjo,64
Malunda,219
Tirat Karmel,16
Kraśniczyn,210
Dalonghua,223
Liushikou,209
Sutton,130
Stockholm,89
Canelas,9
Grojec,190
Magsaysay,166
Zyablikovo,158
Shantoudian,124
Cookshire-Eaton,72
Oujiangcha,141
Liqiao,5
Buenavista,99
Velké Opatovice,26
Loureiro,191
Stockholm,75
Néa Róda,52
Sironko,227
Nancaicun,48
Enriquillo,101
Courtaboeuf,212
Naguilian,105
Carrefour,147
Heshi,115
Zhouling,31
Montepuez,214
Usquil,220
Itambé,146
Téra,51
Katima Mulilo,155
Chelyabinsk,167
Dordrecht,80
Záhorovice,2
Haodian,148
Jianrao,186
Itagüí,24
Taibai,214
Anka,161
Berea,117
Hengelo,46
Pocito,152
Haradzishcha,5
Wengtian,40
Hubynykha,153
Sanmiaoqian,99
Campos,132
Narach,150
Hantara,99
Lom Sak,5
Petukhovo,144
Miechów Charsznica,86
Raoshi,59
Plyussa,131
Yuejin,220
Comalapa,44
Villa del Carmen,16
Wenfeng Zhen,66
Coutances,17
Washington,164
Firminy,75
Canomoy,215
Nahāvand,167
Fort Beaufort,174
Danyang,155
Maredakalada,106
Rudka,53
Santana,148
Ollantaytambo,173
Trenton,2
Ash Shajarah,90
Ježdovec,194
Sop Pong,28
Asempapak,163
Guanba,111
Muyaka,186
Longmenfan,103
Soa,223
Ferraz de Vasconcelos,38
Laowobao,185
Albuquerque,2
Okhansk,158
Ricardo Palma,175
San Ignacio de Velasco,63
Nice,158
Xiji,60
Tonoshō,75
Taposan,99
Borovskoy,28
Brodokalmak,134
Ash Shajarah,165
New Orleans,142
Yong’an,186
Béoumi,165
Mabilog,175
Hobscheid,98
Aldeias de Cima,57
Castro,143
Grand Bank,121
Mestre,147
Hengshan,152
Jinhe,174
Khairpur Nathan Shāh,183
Yushu,130
Cikadu,126
Boende,38
Masaran,97
Laúndos,46
Jatiklampok,158
Riti,45
Nizhnedevitsk,136
Sabtang,165
Annecy,92
Saint-Denis,213
Guifeng,123
Karabudakhkent,104
Guanzhuang,91
Porto Seguro,190
Anping,62
Kokstad,199
Julcamarca,92
Barvinkove,191
Granada,71
Nesterovskaya,223
Wangmang,85
Concepción de La Vega,119
Hainan,46
Vancouver,34
Lgota Wielka,117
Trindade,80
Chat Trakan,108
Porlamar,152
Jinchang,31
Paniqui,135
Pereira,167
Tānk,70
Wangjiaping,215
Nanhe,187
Cherëmushki,20
Montréal-Ouest,88
Cabalaoangan,77
Blagodatnoye,129
Oehala,153
Tharyarwady,224
Götene,6
Menggala,120
San Roque,126
Talmest,227
Pasirmadang,142
Aminga,214
Hougong,22
Tekeli,95
Jinlong,97
Yara,16
Pamedaran,50
Tulsa,33
Campo Grande,48
Bizerte,17
Concepción,52
Pontes,42
Rakitovo,166
Skien,120
Skrzyszów,83
Sauri,189
Werinama,21
Ribeiro,138
Huangqiao,89
Chengfeng,222
Santa Rita,219
Pueblo Nuevo,120
Īlām,48
Giebułtów,205
Pringgabaya,219
Gaigeturi,39
Menghai,51
Jinjiang,36
Daur,184
Farranacoush,97
Oshnavīyeh,164
Solidaridad,95
Vitali,172
Marsaxlokk,165
Hultsfred,131
Itajubá,21
Kalajoki,59
Acopiara,224
Sumberkenanga,81
Naga,116
Coloncito,98
Borås,215
Yueyang,137
Xinchengzi,177
Yambol,79
Zhengyangshan,176
Xiaomenjia,30
Chingas,64
Yuanjue,10
Łubnice,14
El Sauce,164
Nuits-Saint-Georges,124
Skärholmen,67
Waalwijk,3
Tiebiancheng,196
Paris 17,32
Oropesa,92
Porto Alegre,61
Xiaoling,49
Chengbei,111
Pajarillo,133
Marseille,165
Sumilao,45
Krzykosy,225
Cirangga Kidul,5
Tajur,84
Cimongkor,57
Tijucas,184
Beicheng,69
Magisterial,105
Punta de Piedra,54
Labog,132
Paccha,156
Santander,58
Malasiqui,87
Omoa,179
Nizhnepavlovka,100
Paoua,12
Lubuagan,118
Cigoong,139
Mokil,177
Spanish Town,157
Petit Valley,219
Infanta,195
Weiqi,125
Khabarovsk,29
Arjona,202
Sunduan,171
Culubasa,113
Taiyigong,107
Dawuhan,132
Eauripik,86
Is,96
Ducheng,95
Kannabechō-yahiro,29
Mevo horon,195
Fuente de Oro,50
Kol’chugino,115
Phoenix,160
Atibaia,71
Fojo,60
Dasheng,220
Taramana,112
Cibugel,165
Casuguran,174
Stara Kornica,23
El Aïoun,148
Wyszki,47
Baturaja,141
Ojo de Agua,225
Pakisaji,94
Jurovski Dol,16
Leiling,73
Ruoqiang,42
Adorjan,17
San Jacinto,17
Bapska,183
Las Mesas,222
Cikou,58
Shangping,160
Stará Ves nad Ondřejnicí,61
Zhosaly,181
Kebonagung,199
Lenchwe Le Tau,138
Dayr Sharaf,85
Temryuk,193
Vänersborg,15
Xiaochengzi,212
Dzięgielów,43
Iquipi,115
Khilok,80
Tunguang,79
Sujji,129
Ceadîr-Lunga,216
Pasongsongan,109
Sumy,17
Soledar,76
Al Mazār,158
Changning,180
Tarragona,200
Maturín,82
Hejiadong,59
Błędów,65
Sinjhoro,21
Juanshui,91
Linxi,42
Samouco,27
Querocotillo,49
Sanhe,176
Pasirputih,148
Minador do Negrão,115
Blois,35
Sabnie,202
Krotoszyn,128
Rettikhovka,14
Vincennes,47
Täby,123
Khilok,203
Pavlovka,9
Mzuzu,219
Cam Ranh,179
Tiarei,225
Oslo,91
Jinguoping,131
Örebro,13
Kasli,42
Bala Murghab,175
Bandar Seri Begawan,88
Huangling,47
El Copé,108
Kuala Lumpur,211
Křížová,225
Zhengmo,148
Ljubuški,201
Ar Ru’ays,187
Xiantang,160
Naurskaya,55
Villeta,179
Cihambali,54
Şaḩam,44
Zamoskvorech’ye,70
Charlottetown,220
Nyima,175
Ołpiny,170
Konso,129
Birmingham,102
Princeville,116
Salamwates,66
Yalukou,126
Fruitvale,198
Korogan Timur,105
Lamas,137
São Martinho,124
Mikulovice,70
Ludwin,109
Dřiteň,35
Rosario,110
Donabate,26
Poá,177
Ad Dilam,93
Cotonou,69
Nueva Loja,24
Xinying,179
Plavy,79
Svetogorsk,64
Julayjilah,56
Xianghu,127
Thạnh Phú,213
Lanci Satu,105
Muqi,38
Hallsberg,123
Trzcianka,17
Mriyunan,65
Khlong Hat,199
Bayan,141
Rosario de Lerma,115
Salvador,110
Xuanhua,151
Burirao,37
Jabon,159
Calauag,22
Nurota Shahri,213
Barisāl,82
Lom Sak,139
Księżpol,103
Kobarid,51
Krajan Kerjo,51
Bangus Kulon,34
Porto de Mós,136
Karano,101
Haenam,73
Moro,52
Waterbury,34
Shaping,125
Hienghène,147
Goya,27
Huashixia,16
Daping,165
Jiangdulu,169
Angostura,104
Jackson,193
Agrela,113
Barranca de Upía,176
Mentaras,107
Pandi,170
Fershampenuaz,70
Ipiales,184
Arys,110
Gremyachinsk,185
Júlio de Castilhos,195
Sukakarya,7
Czernice Borowe,69
Wiślica,204
Meirinhas,70
Miaogou,46
Düsseldorf,50
Agusan,59
Tengah,91
Maoping,141
Kusŏng,42
Atlanta,43
Prachamtakham,130
Trondheim,106
Khiliomódhi,159
Pandi,48
Örebro,64
Mchinji,215
Zhongxin,198
Philadelphia,56
Huế,157
São Mateus,71
Chashnikovo,90
Cintra,122
Petřvald,164
Sovetsk,178
Salām Khēl,168
Shofirkon,50
Devitsa,70
Deh-e Now,126
Roissy Charles-de-Gaulle,193
Taoyao,25
Qal‘eh Ganj,190
Zhumadian,151
Nanam,34
Telheira,19
Gowurdak,145
Wiang Chiang Rung,128
Jelah,224
Cipancur,40
Khoa,29
Bizhbulyak,184
Zyuzino,99
Paraguarí,149
Jiangjiazui,100
La Unión,104
Arrah,92
Qintang,140
Lhari,164
Yingyang,126
Ampatuan,124
Vichy,71
Nakhodka,126
Jiangdulu,162
Shirokovskiy,77
Jönköping,135
Pico Truncado,65
Gaoyi,222
Victoria,158
Rotterdam postbusnummers,43
Changqi,87
Zaliznychne,146
Ibiporã,62
Rawang,210
Doblas,25
Gayam,172
Datian,73
Henggouqiao,7
Chivor,82
Nūrābād,42
Karlovo,184
Calle Blancos,198
Guandukou,61
Krajan,146
Kentau,184
Santa Rita Village,107
Bangbayang Kaler,108
Zbrosławice,214
Leiden,181
Jabungsisir,183
Dordrecht,126
Rio Real,146
Nazaré da Mata,59
Yoshkar-Ola,171
Nikkō,172
Taltal,190
Anta,134
Jeponkrajan,125
Ketanggi,175
Dajanrurung,215
Tempaling,134
Stockholm,24
Banjar Kertasari,166
Balakhninskiy,153
Shakhty,209
Piotrków Trybunalski,153
Quintã,100
Chernoyerkovskaya,199
Gigante,133
Igreja,37
Foros de Salvaterra,214
Vorontsovka,85
Liupai,209
Mikhaylovsk,48
Guanagazapa,226
Tuxi,126
Santiago De Compostela,208
Medina,177
Tranås,121
Cardal,195
Penalva de Alva,223
Santa Fe,207
Yessentuki,66
Kinloch,213
Pamyat’ Parizhskoy Kommuny,162
Jingyu,188
Basel,6
Fukadale,141
Saipan,218
Ferraz de Vasconcelos,68
Guinobatan,85
Alupay,87
Chai Badan,63
Dalong,149
Waegwan,102
Tawau,35
Lechinkay,188
Thanatpin,10
Ivanovka,87
Piracanjuba,142
Amboanjo,181
Hermosa,144
Lanchkhuti,126
Sabá,42
Mafeng,156
Dorowa Mining Lease,159
Xiantang,8
Esil,201
Oslo,194
An Nāşirīyah,117
Guaíra,191
Buluangan,212
Nkpor,43
Yachimata,96
Yamaguchi-shi,92
Valera,175
Itaocara,176
Villa Nueva,61
Mojogajeh,105
Pingqiao,18
Beppu,19
Rudnyy,110
Pará de Minas,204
Saint Louis,172
Xinjie,72
Jinluo,62
Dagang,187
Daya,74
Jinping,225
Souto da Costa,164
Ağdam,76
Flin Flon,165
Busay,54
Klenje,174
Rio Branco do Sul,51
Hulei,97
Warren,155
Camarate,13
Nyaunglebin,115
Nueva Esperanza,67
Ciparay,59
L'Aigle,68
Igpit,103
Breda,219
Debre Werk’,34
Verkhnya Syrovatka,175
Lišov,180
Bcharré,151
Lesnoy,59
Heba,104
Las Palmas,185
Nizui,160
Dolgoderevenskoye,131
La Uvita,46
Utmānzai,105
Bierawa,19
Adjumani,60
Santa Bárbara d'Oeste,45
Örbyhus,43
Själevad,98
Niedzica,101
Chaves,207
Wudian,59
Pudasjärvi,5
Sanya,130
Emalgolin Mongolzuxiang,29
Dammarie-les-Lys,83
Lyon,30
Qŭrghontepa,39
Kiel,25
Chiguayante,186
La Paz,63
Chuanxi,187
Emiliano Zapata,131
Tikhoretsk,127
Oke Mesi,158
Wanjia,104
Lanos,154
Chaumont,225
Pakisrejo,141
Stará Huť,127
Panjiawan,115
Hrazdan,74
Calbuco,167
Xinglong,175
Nikki,148
Myhove,185
Sumberkemuning,104
Soa,192
Haibeitou,213
Içara,136
Srbinovo,4
Jati,96
Ar Ruḩaybah,129
Sumberjo,197
Shuishiying,201
Nejo,144
Timurjaya,183
Foča,73
Shazhouba,112
Doko,21
Palestina,28
Huangjingba,163
Tawen Aobao,221
Aknoul,192
Qingfeng,13
Litian,197
Beizhakou,46
Langzhong,42
Retenggoma,221
Ami,35
Cortes,145
Agriá,141
Atlasovo,218
Waiwukak,51
Norton,70
Tissa,185
Bashtanka,212
Jamshoro,64
La Goulette,189
Pechenga,158
Orekhovo-Zuyevo,43
Wieniawa,67
Nyköping,99
Tariji,70
Yeniköy,107
Nishor,107
Västerås,52
Tinghir,195
Petkovci,57
Morangis,126
Kolbuszowa,77
Kuala Terengganu,104
Příbram,116
Haramgai,205
Nāḩiyat Hīrān,59
Puerto Iguazú,133
Springfield,7
Selemadeg Kelod,169
Lue Amnat,65
Fernandópolis,186
Gunung,75
Huari,226
Carmen,14
Purranque,194
Pendolo,2
Kitob,107
Tanjungampalu,115
Uozu,227
Hövsan,47
Borek,174
Dodola,72
Örebro,22
Jiru,7
Kisoro,24
Pang,113
Kanye,139
Mezhdurechensk,163
Zhongtang,56
Valença do Piauí,139
Ulyanovsk,29
Anuchino,213
Mazatenango,6
Al Ḩajar al Aswad,130
Semarang,117
Karakulino,94
Zhuangbian,166
As Suwaydā,24
Mhlume,125
Zhaocun,137
Smara,10
Zambujal,94
Séguéla,220
Shuangcheng,112
Conceição do Araguaia,197
North Bay,22
Banjar Dauhpura,70
Niba,195
Hongchang,110
Kyparissía,81
Outapi,26
Boise,186
Obigarm,216
Changhe,176
Kalibunder,102
Serang,108
Suḩayl Shibām,129
Mudanjiang,36
Qingban,35
Bordeaux,43
Tayum,182
Albany,79
Wąbrzeźno,88
Casal Galego,71
Ayacucho,64
Machala,90
Badaogu,43
Ubá,216
Guebwiller,221
Sarāb,91
Volodars’k-Volyns’kyy,178
San Isidro de Lules,139
Glatik,149
Pacajus,117
Verdun,104
Xiwanzi,27
Houjiachuan,162
Krajan,5
Bendungan,19
Östersund,175
Yangambi,11
Burgeo,56
Funza,111
Zhutian,77
Beicheng,67
Oslo,214
Mizhou,38
Derviçian,215
Itapuranga,71
